-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
April,22,"1,087","1,189","1,353",69.4,1.02,1.38,1.68,0.19,1.70,2.01,2.37,0.19
April,23,"1,092","1,241","1,407",76.5,1.01,1.55,1.88,0.23,1.69,2.19,2.55,0.22
April,24,"1,181","1,325","1,491",90.4,1.24,1.79,2.16,0.27,1.96,2.45,2.85,0.26
May,Monthly Average,"1,065","1,237","1,514",106.8,1.02,1.58,2.26,0.30,1.60,2.19,2.95,0.32
May,1,"1,218","1,360","1,490",73.5,1.60,1.96,2.20,0.14,2.20,2.59,2.90,0.17
May,2,"1,242","1,375","1,500",71.6,1.65,1.99,2.21,0.14,2.26,2.63,2.89,0.17
May,3,"1,242","1,381","1,497",69.7,1.64,2.00,2.21,0.14,2.27,2.64,2.90,0.16
May,4,"1,249","1,378","1,514",71.1,1.67,2.00,2.26,0.15,2.31,2.64,2.95,0.17
May,5,"1,232","1,361","1,501",69.5,1.63,1.95,2.20,0.14,2.23,2.58,2.90,0.16
May,6,"1,216","1,325","1,471",58.0,1.61,1.86,2.20,0.13,2.21,2.48,2.87,0.13
May,7,"1,198","1,301","1,466",57.3,1.55,1.76,2.20,0.15,2.14,2.39,2.87,0.15
May,8,"1,141","1,263","1,371",53.6,1.43,1.67,2.07,0.14,1.97,2.28,2.61,0.14
May,9,"1,129","1,233","1,329",55.5,1.30,1.58,1.86,0.12,1.88,2.19,2.47,0.14
May,10,"1,095","1,210","1,315",57.2,1.22,1.51,1.77,0.14,1.80,2.12,2.41,0.15
May,11,"1,083","1,188","1,295",60.6,1.19,1.46,1.74,0.14,1.77,2.06,2.37,0.16
May,12,"1,085","1,175","1,277",60.9,1.15,1.42,1.67,0.13,1.72,2.01,2.30,0.16
May,13,"1,074","1,164","1,264",60.1,1.12,1.38,1.60,0.13,1.70,1.97,2.23,0.15
May,14,"1,076","1,152","1,247",56.9,1.08,1.34,1.57,0.12,1.66,1.92,2.19,0.15
May,15,"1,070","1,148","1,240",56.5,1.05,1.32,1.51,0.12,1.64,1.90,2.13,0.15
May,16,"1,066","1,144","1,241",57.1,1.04,1.29,1.51,0.13,1.62,1.88,2.13,0.15
May,17,"1,072","1,148","1,268",60.0,1.03,1.29,1.53,0.14,1.62,1.88,2.19,0.16
May,18,"1,071","1,157","1,272",62.1,1.02,1.31,1.54,0.15,1.60,1.91,2.20,0.17
May,19,"1,065","1,169","1,277",62.7,1.03,1.35,1.58,0.15,1.61,1.95,2.23,0.17
May,20,"1,080","1,165","1,252",52.8,1.06,1.35,1.54,0.13,1.64,1.94,2.17,0.14
May,21,"1,067","1,150","1,245",53.8,1.07,1.33,1.53,0.13,1.64,1.92,2.17,0.14
May,22,"1,091","1,184","1,298",58.2,1.16,1.42,1.66,0.13,1.73,2.02,2.31,0.15
May,23,"1,123","1,242","1,394",69.2,1.28,1.63,1.98,0.16,1.89,2.24,2.64,0.17
May,24,"1,171","1,321","1,464",79.7,1.43,1.86,2.19,0.19,2.04,2.48,2.85,0.21
June,Monthly Average,996,"1,191","1,422",94.6,0.97,1.43,2.09,0.30,1.51,2.03,2.74,0.32
June,1,"1,203","1,289","1,360",39.6,1.51,1.77,2.05,0.15,2.02,2.39,2.62,0.14
June,2,"1,229","1,316","1,389",40.0,1.55,1.83,2.03,0.14,2.08,2.45,2.64,0.14
June,3,"1,237","1,332","1,420",44.6,1.60,1.88,2.06,0.14,2.10,2.50,2.71,0.15
June,4,"1,236","1,335","1,422",42.0,1.64,1.88,2.08,0.13,2.10,2.51,2.72,0.14
June,5,"1,228","1,328","1,398",40.6,1.59,1.86,2.09,0.14,2.08,2.49,2.74,0.14
June,6,"1,223","1,304","1,402",43.1,1.50,1.80,2.01,0.14,2.03,2.43,2.69,0.15
June,7,"1,170","1,275","1,397",52.1,1.33,1.69,1.92,0.14,1.90,2.32,2.65,0.16
June,8,"1,134","1,230","1,326",46.9,1.21,1.56,1.84,0.14,1.85,2.18,2.53,0.15
June,9,"1,092","1,192","1,294",41.8,1.11,1.43,1.67,0.13,1.76,2.04,2.36,0.15
June,10,"1,083","1,159","1,243",38.8,1.10,1.34,1.50,0.12,1.67,1.94,2.18,0.14
June,11,"1,049","1,133","1,191",31.3,1.05,1.26,1.40,0.11,1.62,1.86,2.03,0.12
June,12,"1,026","1,120","1,180",30.7,1.01,1.22,1.35,0.10,1.58,1.82,1.97,0.11
June,13,"1,006","1,112","1,165",30.5,0.98,1.19,1.33,0.09,1.56,1.78,1.93,0.11
June,14,996,"1,107","1,152",30.6,0.98,1.17,1.32,0.09,1.52,1.76,1.92,0.10
June,15,"1,004","1,103","1,140",28.5,0.97,1.15,1.28,0.08,1.51,1.74,1.88,0.09
June,16,"1,020","1,100","1,140",27.1,0.98,1.14,1.27,0.08,1.53,1.72,1.90,0.09
June,17,"1,023","1,099","1,147",28.7,0.99,1.12,1.23,0.06,1.52,1.71,1.87,0.08
June,18,"1,028","1,106","1,154",29.3,1.00,1.14,1.25,0.06,1.55,1.72,1.90,0.08
June,19,"1,039","1,117","1,164",30.2,1.03,1.16,1.29,0.06,1.55,1.75,1.91,0.08
June,20,"1,065","1,125","1,181",26.6,1.03,1.18,1.32,0.07,1.63,1.78,1.93,0.08
June,21,"1,058","1,113","1,190",30.5,1.02,1.19,1.36,0.08,1.57,1.78,1.99,0.10
June,22,"1,073","1,142","1,232",35.4,1.07,1.26,1.53,0.10,1.60,1.87,2.16,0.11
June,23,"1,111","1,187","1,273",37.6,1.17,1.41,1.69,0.13,1.70,2.02,2.32,0.13
June,24,"1,155","1,248","1,332",40.5,1.31,1.61,1.91,0.16,1.85,2.23,2.54,0.15
July,Monthly Average,"1,042","1,197","1,430",85.0,0.92,1.29,1.97,0.26,1.50,1.91,2.60,0.27
July,1,"1,158","1,276","1,378",53.1,1.35,1.56,1.87,0.11,1.95,2.19,2.52,0.13
July,2,"1,174","1,300","1,388",58.2,1.39,1.63,1.89,0.12,1.99,2.26,2.53,0.15
July,3,"1,188","1,316","1,419",58.2,1.46,1.67,1.85,0.11,2.05,2.30,2.51,0.14
July,4,"1,194","1,322","1,430",56.5,1.49,1.69,1.86,0.11,2.07,2.32,2.57,0.13
July,5,"1,174","1,308","1,401",56.5,1.43,1.65,1.87,0.11,2.02,2.28,2.56,0.13
July,6,"1,151","1,297","1,406",61.7,1.36,1.62,1.97,0.13,1.97,2.26,2.60,0.15
July,7,"1,161","1,275","1,374",58.1,1.27,1.54,1.83,0.13,1.89,2.18,2.50,0.15
July,8,"1,131","1,233","1,365",54.9,1.20,1.42,1.81,0.14,1.80,2.06,2.51,0.16
July,9,"1,100","1,194","1,281",49.9,1.03,1.28,1.60,0.12,1.65,1.91,2.22,0.14
July,10,"1,078","1,163","1,246",41.6,1.00,1.18,1.47,0.10,1.59,1.81,2.09,0.12
July,11,"1,068","1,146","1,203",39.2,0.99,1.13,1.34,0.08,1.56,1.74,1.97,0.10
July,12,"1,044","1,133","1,187",37.3,0.97,1.10,1.28,0.08,1.54,1.71,1.89,0.09
July,13,"1,048","1,129","1,183",33.2,0.95,1.07,1.20,0.07,1.53,1.68,1.84,0.08
July,14,"1,062","1,129","1,175",30.5,0.96,1.07,1.17,0.07,1.53,1.67,1.79,0.07
July,15,"1,042","1,125","1,170",31.3,0.95,1.06,1.18,0.07,1.50,1.66,1.80,0.07
July,16,"1,068","1,124","1,173",28.5,0.95,1.05,1.17,0.06,1.52,1.65,1.78,0.06
July,17,"1,068","1,125","1,175",28.0,0.93,1.05,1.16,0.06,1.53,1.65,1.75,0.06
July,18,"1,074","1,130","1,187",28.9,0.92,1.06,1.16,0.06,1.54,1.67,1.77,0.07
July,19,"1,075","1,142","1,209",30.1,0.93,1.08,1.18,0.07,1.56,1.70,1.82,0.07
July,20,"1,079","1,150","1,212",31.6,0.97,1.10,1.21,0.07,1.58,1.72,1.83,0.07
July,21,"1,070","1,138","1,197",33.8,0.97,1.11,1.21,0.07,1.58,1.72,1.84,0.08
July,22,"1,062","1,155","1,232",37.1,1.03,1.15,1.25,0.07,1.59,1.77,1.91,0.08
July,23,"1,084","1,176","1,231",35.5,1.06,1.23,1.40,0.08,1.65,1.86,2.04,0.09
July,24,"1,138","1,242","1,373",47.0,1.26,1.44,1.82,0.10,1.86,2.08,2.55,0.12
August,Monthly Average,"1,027","1,208","1,454",94.0,0.92,1.35,2.08,0.27,1.52,1.97,2.74,0.29
August,1,"1,181","1,298","1,413",58.8,1.23,1.63,1.93,0.15,1.80,2.28,2.62,0.16
August,2,"1,198","1,324","1,423",56.6,1.44,1.70,2.01,0.15,2.07,2.35,2.67,0.15
August,3,"1,202","1,344","1,444",56.5,1.55,1.76,2.04,0.14,2.16,2.41,2.70,0.15
August,4,"1,215","1,350","1,454",55.4,1.58,1.79,2.08,0.14,2.18,2.44,2.74,0.15
August,5,"1,218","1,329","1,430",52.8,1.52,1.73,2.05,0.12,2.14,2.37,2.71,0.12
August,6,"1,189","1,293","1,425",56.9,1.45,1.65,1.93,0.10,2.06,2.28,2.57,0.11
August,7,"1,176","1,283","1,415",59.3,1.38,1.60,1.84,0.11,2.01,2.23,2.49,0.12
August,8,"1,140","1,251","1,388",56.3,1.30,1.51,1.75,0.12,1.91,2.14,2.41,0.13
August,9,"1,127","1,210","1,344",49.5,1.19,1.37,1.74,0.12,1.81,2.00,2.35,0.13
August,10,"1,084","1,181","1,296",45.6,1.13,1.27,1.61,0.11,1.67,1.89,2.21,0.12
August,11,"1,046","1,157","1,229",43.2,1.05,1.20,1.43,0.08,1.58,1.81,2.06,0.09
August,12,"1,047","1,141","1,227",46.3,1.02,1.16,1.31,0.06,1.59,1.76,1.95,0.07
August,13,"1,046","1,139","1,230",49.4,1.03,1.14,1.25,0.05,1.56,1.74,1.90,0.07
August,14,"1,057","1,135","1,222",47.9,1.05,1.12,1.22,0.04,1.59,1.72,1.87,0.06
August,15,"1,049","1,129","1,223",49.1,1.04,1.10,1.22,0.04,1.56,1.70,1.87,0.07
August,16,"1,027","1,126","1,215",51.2,0.92,1.10,1.21,0.05,1.52,1.69,1.86,0.07
August,17,"1,028","1,128","1,220",51.8,0.93,1.09,1.23,0.06,1.52,1.69,1.88,0.08
August,18,"1,040","1,136","1,235",49.8,0.96,1.10,1.24,0.05,1.56,1.70,1.89,0.07
August,19,"1,061","1,150","1,243",48.8,0.98,1.12,1.25,0.05,1.58,1.73,1.91,0.08
