"longtrip","primfish","mail","status","id_code","asgnum","intcd","year","month","day","intv","time","st","cnty","nights","days","peotrav","peofish","afuelexp","afuelnum","arentexp","arentnum","ptransexp","ptransnum","lodgexp","lodgnum","grocexp","grocnum","restexp","restnum","tackexp","tacknum","baitexp","baitnum","iceexp","icenum","feesexp","feesnum","parkexp","parknum","othexp","othnum","other_verb","bfuelexp","bfuelnum","brentexp","brentnum","guideexp","guidenum","crewexp","crewnum","procexp","procnum","percent","date1","giftnum","mode_fx","ffdays12","st_res","sub_reg","wave","intid","wave1","miles","miled","giftsexp","giftsnum","miscexp","miscnum","totexp","totnum","othexp_o","commlic","boat","howlie","q19","q19a","q19b","res","int","mailed","mid_phone","years","beach","pier","privboat","charter","daysus","st_fish_a","st_fish_b","st_fish_c","st_fish_d","st_fish_e","st_fish_oth","fishal","fishak","fishca","fishct","fishde","fishfl","fishga","fishhi","fishla","fishme","fishmd","fishma","fishms","fishnh","fishnj","fishny","fishnc","fishor","fishri","fishsc","fishtx","fishva","fishwa","fishoth","moneygear","rodsexp_p","rodsexp","rodsperc","rodssalt","tackleexp_p","tackleexp","tackleperc","tacklesalt","gearexp_p","gearexp","gearperc","gearsalt","campexp_p","campexp","campperc","campsalt","clothexp_p","clothexp","clothperc","clothsalt","glassesexp_p","glassesexp","glassesperc","glassessalt","subscribe_p","subscribe","taxexp_p","taxexp","taxperc","taxsalt","clubsexp_p","clubsexp","clubsperc","clubssalt","licenses_p","licenses","ownboat","perctime","boatlngth","motorized","horsepower","boatexp_p","boatexp","boatst_a","boatst_b","boatst_c","boatst_d","boatst_e","boatst_oth","boatfin","boatnew","boatdealer","canoeexp_p","canoeexp","canoest_a","canoest_b","canoest_c","canoest_d","canoest_e","canoest_oth","canoefin","canoenew","canoedealer","accexp_p","accexp","accst_a","accst_b","accst_c","accst_d","accst_e","acc_oth","accfin","accnew","accdealer","storageexp_p","storageexp","storagest_a","storagest_b","storagest_c","storagest_d","storagest_e","storage_oth","maintexp_p","maintexp","maintst_a","maintst_b","maintst_c","maintst_d","maintst_e","maint_oth","licexp_p","licexp","licst_a","licst_b","licst_c","licst_d","licst_e","lic_oth","boatinsexp_p","boatinsexp","boatinsst_a","boatinsst_b","boatinsst_c","boatinsst_d","boatinsst_e","boatins_oth","ownvehicle","vehicleperc","vehicleexp_p","vehicleexp","vehiclest_a","vehiclest_b","vehiclest_c","vehiclest_d","vehiclest_e","vehicle_oth","vehiclefin","vehiclenew","vehicledealer","repairexp_p","repairexp","repairst_a","repairst_b","repairst_c","repairst_d","repairst_e","repair_oth","vehinsexp_p","vehinsexp","vehinsst_a","vehinsst_b","vehinsst_c","vehinsst_d","vehinsst_e","vehins_oth","secondhome","secondhomeperc","secondhomest_a","secondhomest_b","secondhomest_c","secondhomest_d","secondhomest_e","secondhome_oth","secondhomeexp_p","secondhomeexp","secondhomefin","secondhomenew","secondhomeagent","secondhomerepexp_p","secondhomerepexp","secondhomeinsexp_p","secondhomeinsexp","gender","yearborn","age_learn","taught_a","taughtm_o","taughtf_o","taughto_o","reason_p","education","employ_a","employ_b","employ_c","employ_d","employ_e","employ_f","employ_g","employ_o","ethnic","race_a","race_b","race_c","race_d","race_e","hours","income","dispo","source","stabbr","reason1","reason2","reason3","phonenum","qver","stname","yearwave","survey_type","masterid","midsuff","strata","qver_hi","mode_f","cust","permitnbr","birthdate_zip_issuedate_wave","recid_wave","wildid_wave","idcode_edate","personid_birthdate_obsnum","docid_obsnum_wave","source_index","fl_phone","boatinsstate","canoestate","maintstate","repairstate","secondhomestate","storagestate","vehinsstate","vehiclestate","intered","dayssalt","daysfresh","fishoth_o","resak","reconly","subonly","personly","dkonly","tripmo","tripdy","tripyr","target","species1","species2","timeoff","numtrav","numfished","recreation","otransexp","otransnum","ofoodexp","ofoodnum","moorexp","moornum","ofishexp","ofishnum","daysfish","money","caughtmarlin","nummarlin","bigmarlin","sell","commfish","fulltime","boatst","canoest","accst","storagest","maintst","licst","boatinsst","vehiclest","repairst","vehinsst","secondhomest","mosta1","mostb1","mostc1","mosttrips1","leasta1","leastb1","leastc1","leasttrips1","mosta2","mostb2","mostc2","mosttrips2","leasta2","leastb2","leastc2","leasttrips2","mosta3","mostb3","mostc3","mosttrips3","leasta3","leastb3","leastc3","leasttrips3","results","incomebluefin","fish_o","food_o","othpref_o","oth_o","trans_o","rectrip","percexp","othperc","othsalt","incomefish","qgroup","sellx","commfishx","fulltimex","targetx","longtripx","call_varx","caughtmarlinx","stx","resakx","moneygearx","ownboatx","ownvehiclex","secondhomex","reason1x","reason2x","afford","tournum","marlin","bill","mahi","ono","yellow","bigeye","othpref","holoholo","kaukau","expense","profit","trophy","release","trophysize","die","kept","tag","ice","big","over300","fishfrom_1","fishfrom_2","fishfrom_3","fishfrom_4","fishfrom_5","bad_city","ak_res","hi_res","wa_res","otherexp","mail_wave","license","intercept","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","location_2","location_2_address","location_2_city","location_2_state","location_2_zip","location_3","location_3_address","location_3_city","location_3_state","location_3_zip","location_4","location_4_address","location_4_city","location_4_state","location_4_zip","location_5","location_5_address","location_5_city","location_5_state","location_5_zip","location_6","location_6_address","location_6_city","location_6_state","location_6_zip","location_7","location_7_address","location_7_city","location_7_state","location_7_zip","location_8","location_8_address","location_8_city","location_8_state","location_8_zip","location_9","location_9_address","location_9_city","location_9_state","location_9_zip"
"2","2","2","1","1535820060616000","1","5358","2006","6","16","9","1205","12","91","6","1","10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0",,"0","0","0","0","0","0","0","0","12JUL200610:15",,"5","1","48","7","3","599","3","534.7","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-94.603829 29.74102)",,,"12","77514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1535720060924000","1","5357","2006","9","24","3","1422","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"10OCT200610:15","0","7","2","13","7","5","948","5","253.6","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-84.455242 33.098228)",,,"12","30206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","2","2","1","1535720060915000","1","5357","2006","9","15","5","1702","12","5","4","2","2","1","150","2","0","0","0","0","500","2","75","2","300","2","0","0","5","1","0","0","0","0","10","1","0","0",,"0","0","0","0",,"0",,"0",,"0","95","10OCT200610:15","0","3","1","13","7","5","657","5","305.3","1","0",,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-84.211189 33.554092)",,,"12","30281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1535720060826020","1","5357","2006","8","26","20","1748","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"11SEP200610:15",,"5","4","13","7","4","664","4","311.6","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-84.692833 33.877275)",,,"12","30127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"4","1535720061118000","1","5357","2006","11","18","6","1454","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"12DEC200610:15","0","5","1","13","7","6","663","6","300.5","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-84.211189 33.554092)",,,"12","30281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","8","2","1","1535820060609030","1","5358","2006","6","9","31","1640","12","91","998","998","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0",,"0","150","0","0","0","0","0","100","12JUL200610:15",,"5","1","12","7","3","599","3","9.5","1",,,,,,,,,,,,,,"1","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-86.719782 30.412128)",,,"12","32569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1535720060826010","1","5357","2006","8","26","14","1341","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"11SEP200610:15",,"5","1","13","7","4","664","4","244.6","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-84.462482 32.997621)",,,"12","30258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1000920060401020","1","9","2006","4","1","26","1751","12","103",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"12MAY200610:15",,"5","1","22","7","2","524","2","995.2","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-93.806863 32.471379)",,,"12","71109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1535720060923020","1","5357","2006","9","23","20","1636","12","5",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"10OCT200610:15","0","5","1","42","7","5","663","5","1148.7","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-74.909998 40.178353)",,,"12","19047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1000920060401020","1","9","2006","4","1","28","1801","12","103",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"12MAY200610:15",,"5","1","22","7","2","524","2",,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,"12","99998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","8","2","1","1535820060520020","1","5358","2006","5","20","28","1542","12","91","998","998","2","2","0","0","0","0","0","0","0","0","10","2","0","0","0","0","0","0","10","2","0","0","0","0","10","2","L","60","2","0","0",,"0",,"0",,"0","100","07JUN200610:15",,"7","75","12","7","3","652","3","17.1","1",,,,,,,,,,,,,,"1","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-86.436245 30.50079)",,,"12","32578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1000920060401030","1","9","2006","4","1","30","1811","12","103",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"12MAY200610:15",,"5","1","32","7","2","524","2",,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,"12","99998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","1","2","2","1535820060422020","1","5358","2006","4","22","28","1843","12","91","2","1","18","18","8888","88","8888","88","8888","88","8888","88","8888","88","8888","88","8888","88","8888","88","8888","88","8888","88","8888","88","8888","88",,,"0",,"0","8888","88","8888","88","8888","88","998","12MAY200610:15",,"5","1","13","7","2","692","2","333.5","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-84.200979 33.795021)",,,"12","30083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","1","2","1","1535820060604000","1","5358","2006","6","4","7","1817","12","91","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0",,"0","0","0","0","0","0","0","0","12JUL200610:15",,"5","2","47","7","3","599","3","432.7","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-86.899213 35.985493)",,,"12","37069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","2","2","1","1000920060401030","1","9","2006","4","1","33","1839","12","103","8","1","5","5","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","90","1","0","0","0","0","100","12MAY200610:15",,"5","1","54","7","2","524","2",,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,"12","99998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","8","2","1","1000920060401030","1","9","2006","4","1","34","1844","12","103","998","998","5","5","0","0","0","0","0","0","0","0","45","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","90","1","0","0","0","0","100","12MAY200610:15",,"5","1","17","7","2","524","2",,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,"12","99998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3","1000920060401030","1","9","2006","4","1","31","1816","12","103",,,,,,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,,"0",,"0",,"0",,"0",,"0",,"12MAY200610:15",,"5","1","22","7","2","524","2","955","1",,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-93.978412 32.651663)",,,"12","71060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","1","2","1","1535720061108000","1","5357","2006","11","8","1","1431","12","5","60","50","2","1","3500","2","0","0","0","0","1600","2","1000","2","500","2","0","0","0","0","0","0","0","0","0","0","60","1","U",,"0",,"0",,"0",,"0",,"0","99","12DEC200610:15","0","3","60","13","7","6","657","6","335.2","1","0",,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"POINT (-84.013712 33.99971)",,,"12","30043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
