zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
45616,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45697,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45693,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45646,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45168,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45133,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45671,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45679,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45657,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45144,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45115,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45652,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45650,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
45684,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.11672099313405923,0,0.13688805425977166
14065,122,Village of Arcade - (NY),NY,Bundled,Municipal,0.05297730186939014,0.04927295819185609,0.06173457598397905
14042,122,Village of Arcade - (NY),NY,Bundled,Municipal,0.05297730186939014,0.04927295819185609,0.06173457598397905
14009,122,Village of Arcade - (NY),NY,Bundled,Municipal,0.05297730186939014,0.04927295819185609,0.06173457598397905
31647,123,City of Adel- (GA),GA,Bundled,Municipal,0.1376255707762557,0.08323431331212389,0.136436777307937
31620,123,City of Adel- (GA),GA,Bundled,Municipal,0.1376255707762557,0.08323431331212389,0.136436777307937
56110,150,Adrian Public Utilities Comm,MN,Bundled,Municipal,0.10909692358584189,0.12452531645569621,0.1096440035016049
56256,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56252,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56289,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56207,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56208,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56235,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56231,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56262,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56267,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56265,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56215,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56248,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56249,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56244,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56339,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56271,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56276,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56278,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56226,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56227,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56225,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
56221,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.06853256604760659,0.07904409029358808,0.11058493669349052
29042,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29821,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29824,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29829,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29137,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29138,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29070,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29845,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29853,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29850,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29856,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29108,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29105,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29107,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29113,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29809,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29801,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29803,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29804,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29805,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29851,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29831,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29832,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29839,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29838,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29127,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29123,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29129,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29003,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29006,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29860,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29039,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29038,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29037,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29666,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29146,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29828,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29817,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29847,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29841,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29842,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29848,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29118,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29112,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29115,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29835,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29834,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29160,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29166,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
29164,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.11658516800967271,0.07065273880054049,0.13403101711983886
32615,201,City of Alachua - (FL),FL,Bundled,Municipal,0.11675708820432157,0,0.12778180062756456
94130,207,City of Alameda,CA,Bundled,Municipal,0.14460485495019867,0,0.14740057085502792
