-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
August,1,"1,205","1,315","1,391",48.0,1.97,3.42,4.27,0.57,1.78,2.09,2.25,0.12
August,2,"1,202","1,357","1,447",54.3,1.78,3.73,4.78,0.64,1.86,2.19,2.39,0.12
August,3,"1,293","1,404","1,488",50.4,2.80,4.15,4.83,0.49,2.13,2.30,2.45,0.10
August,4,"1,315","1,431","1,499",46.2,3.55,4.37,4.94,0.41,2.13,2.36,2.49,0.09
August,5,"1,268","1,419","1,500",54.8,2.48,4.13,5.02,0.57,2.07,2.32,2.50,0.11
August,6,"1,192","1,364","1,522",75.1,1.74,3.53,5.00,0.75,1.84,2.19,2.48,0.15
August,7,"1,204","1,339","1,489",77.6,1.88,3.40,4.68,0.78,1.85,2.12,2.46,0.17
August,8,"1,150","1,265","1,453",84.9,1.47,2.60,4.44,0.84,1.66,1.93,2.36,0.19
August,9,"1,167","1,224","1,325",44.6,1.58,2.21,3.30,0.47,1.63,1.82,2.03,0.12
August,10,"1,155","1,199","1,273",27.0,1.39,1.96,2.68,0.29,1.54,1.71,1.92,0.09
August,11,"1,159","1,191","1,243",16.7,1.39,1.81,2.66,0.25,1.50,1.63,1.83,0.08
August,12,"1,162","1,192","1,236",18.0,1.28,1.71,2.32,0.18,1.48,1.57,1.72,0.06
August,13,"1,166","1,195","1,226",16.0,1.31,1.68,2.32,0.20,1.48,1.56,1.67,0.05
August,14,"1,168","1,199","1,236",15.3,1.39,1.66,2.21,0.17,1.48,1.55,1.66,0.04
August,15,"1,169","1,201","1,231",13.7,1.26,1.67,2.10,0.18,1.49,1.55,1.64,0.04
August,16,"1,173","1,202","1,234",14.5,1.37,1.66,2.16,0.16,1.48,1.55,1.64,0.04
August,17,"1,173","1,204","1,234",14.6,1.30,1.67,2.07,0.15,1.50,1.56,1.62,0.04
August,18,"1,173","1,204","1,234",15.2,1.26,1.67,2.17,0.17,1.48,1.56,1.65,0.04
August,19,"1,172","1,204","1,241",16.5,1.34,1.72,2.61,0.23,1.51,1.58,1.74,0.05
August,20,"1,154","1,205","1,239",19.6,1.29,1.76,2.31,0.22,1.42,1.59,1.73,0.07
August,21,"1,170","1,206","1,252",19.0,1.31,1.80,3.10,0.31,1.47,1.60,1.85,0.08
August,22,"1,151","1,212","1,251",26.5,1.32,2.11,3.25,0.50,1.44,1.67,1.93,0.12
August,23,"1,189","1,237","1,303",29.7,1.64,2.63,3.90,0.51,1.56,1.85,2.05,0.11
August,24,"1,151","1,282","1,373",58.9,1.37,3.17,4.72,0.90,1.51,1.98,2.23,0.18
September,Monthly Average,"1,134","1,284","1,544",101.0,1.27,2.86,5.58,1.11,1.43,1.92,2.59,0.31
September,1,"1,293","1,378","1,448",37.8,2.73,4.02,4.95,0.46,2.01,2.21,2.37,0.09
September,2,"1,344","1,420","1,485",33.3,3.57,4.33,5.10,0.35,2.08,2.31,2.41,0.07
September,3,"1,304","1,453","1,535",47.2,3.06,4.60,5.51,0.54,2.03,2.39,2.58,0.10
September,4,"1,370","1,472","1,542",39.7,3.52,4.63,5.58,0.49,2.23,2.43,2.59,0.09
September,5,"1,361","1,447","1,544",43.9,3.32,4.31,5.15,0.49,2.16,2.37,2.52,0.09
September,6,"1,293","1,386","1,538",51.1,2.78,3.68,5.01,0.54,2.03,2.24,2.51,0.11
September,7,"1,162","1,328","1,515",81.5,1.62,3.25,4.81,0.78,1.73,2.11,2.47,0.17
September,8,"1,192","1,307","1,489",67.3,1.68,3.08,4.59,0.67,1.71,2.05,2.40,0.14
September,9,"1,140","1,265","1,335",45.0,1.47,2.69,3.43,0.47,1.60,1.95,2.10,0.11
September,10,"1,147","1,242","1,321",40.0,1.40,2.52,3.59,0.56,1.51,1.87,2.05,0.11
September,11,"1,134","1,217","1,312",39.3,1.39,2.20,3.40,0.48,1.51,1.77,2.01,0.11
September,12,"1,159","1,207","1,305",31.8,1.35,2.04,3.42,0.48,1.47,1.70,1.97,0.10
September,13,"1,142","1,204","1,294",30.7,1.38,1.97,3.18,0.45,1.52,1.66,1.94,0.10
September,14,"1,154","1,202","1,284",26.9,1.30,1.89,3.03,0.42,1.48,1.62,1.87,0.09
September,15,"1,149","1,205","1,298",29.2,1.42,1.92,3.36,0.43,1.52,1.62,1.94,0.09
September,16,"1,151","1,202","1,268",24.9,1.34,1.84,2.74,0.36,1.49,1.60,1.80,0.07
September,17,"1,163","1,206","1,282",24.9,1.38,1.91,3.21,0.41,1.49,1.61,1.83,0.08
September,18,"1,146","1,206","1,278",27.8,1.32,1.90,2.84,0.41,1.47,1.62,1.82,0.09
September,19,"1,176","1,213","1,266",24.5,1.49,2.08,3.07,0.49,1.52,1.66,1.84,0.09
September,20,"1,141","1,207","1,303",32.1,1.27,1.99,3.33,0.56,1.43,1.64,1.92,0.12
September,21,"1,148","1,218","1,283",28.7,1.35,2.30,3.40,0.65,1.47,1.70,1.91,0.13
September,22,"1,150","1,229","1,349",49.5,1.32,2.54,4.00,0.90,1.45,1.78,2.07,0.19
September,23,"1,173","1,272","1,340",49.3,1.77,3.17,4.93,0.92,1.62,1.95,2.15,0.16
September,24,"1,235","1,339","1,407",39.4,2.38,3.80,5.01,0.59,1.93,2.13,2.30,0.09
October,Monthly Average,"1,156","1,310","1,614",104.7,1.42,3.23,5.76,1.02,1.48,1.99,2.72,0.29
October,1,"1,319","1,417","1,497",49.6,3.31,4.33,5.29,0.42,2.03,2.29,2.51,0.12
October,2,"1,358","1,469","1,562",52.8,3.55,4.75,5.59,0.49,2.08,2.40,2.62,0.13
October,3,"1,396","1,499","1,606",50.5,3.91,4.98,5.71,0.45,2.23,2.46,2.70,0.11
October,4,"1,344","1,475","1,614",67.2,3.31,4.60,5.76,0.70,2.19,2.43,2.71,0.14
October,5,"1,360","1,456","1,614",63.6,3.32,4.39,5.38,0.61,2.21,2.41,2.72,0.13
October,6,"1,216","1,389","1,543",85.4,2.28,3.74,5.19,0.79,1.92,2.26,2.58,0.17
October,7,"1,183","1,324","1,507",89.6,1.91,3.25,4.96,0.87,1.75,2.09,2.53,0.20
October,8,"1,183","1,312","1,480",78.5,2.00,3.25,4.41,0.69,1.77,2.06,2.41,0.17
October,9,"1,173","1,291","1,404",63.0,1.81,3.09,4.12,0.69,1.72,2.00,2.32,0.14
October,10,"1,173","1,271","1,366",47.6,1.96,2.94,3.79,0.47,1.75,1.93,2.17,0.11
October,11,"1,162","1,251","1,336",49.0,1.65,2.70,3.74,0.59,1.59,1.85,2.09,0.13
October,12,"1,167","1,249","1,320",34.1,1.84,2.75,3.69,0.39,1.71,1.83,1.98,0.08
October,13,"1,165","1,238","1,321",43.2,1.54,2.55,3.91,0.58,1.50,1.77,2.03,0.14
October,14,"1,187","1,238","1,310",31.7,1.78,2.60,3.38,0.38,1.58,1.77,1.95,0.09
October,15,"1,180","1,235","1,310",33.8,1.65,2.49,3.59,0.49,1.52,1.74,1.94,0.13
October,16,"1,189","1,235","1,304",29.2,1.74,2.52,3.18,0.37,1.58,1.74,1.96,0.11
October,17,"1,173","1,234","1,296",32.8,1.52,2.46,3.34,0.38,1.51,1.73,1.98,0.12
October,18,"1,168","1,235","1,308",33.9,1.66,2.48,3.35,0.46,1.51,1.73,1.98,0.13
October,19,"1,161","1,225","1,312",42.9,1.46,2.36,3.93,0.61,1.48,1.72,1.97,0.14
October,20,"1,156","1,229","1,322",39.7,1.55,2.44,3.51,0.56,1.52,1.73,1.95,0.13
October,21,"1,172","1,241","1,347",45.1,1.42,2.70,4.45,0.77,1.51,1.80,2.09,0.16
October,22,"1,173","1,254","1,371",50.7,1.66,2.84,4.42,0.84,1.55,1.86,2.15,0.17
October,23,"1,218","1,298","1,412",55.2,1.98,3.34,4.80,0.88,1.65,2.00,2.27,0.17
October,24,"1,235","1,369","1,463",54.2,3.09,4.05,4.85,0.48,1.95,2.18,2.36,0.10
