OBJECTID,Tax_Code,GlobalID,Shape__Area,Shape__Length
921,363,4b6a06ad-5247-4efd-b199-644b8dfe5958,3387338.23413086,7729.78715905082
922,364,688628b3-52e9-497d-8f78-1cb1b9bb2a4d,16872098.657959,41581.9323715729
923,366,9bb5d816-5dc4-4d78-b4b1-ceb5bc9d7803,23734293.6330566,55264.0871753618
924,367,afeab725-05b1-404e-8bd2-408d4cb56f64,486232.000976563,3432.09683009528
925,368,0b1250f7-3b46-45d5-b79f-20b255dd70d1,23810.3671875,1103.71052110712
926,369,0edd6f2a-12b2-43da-9ef9-9d7ae9e410dd,188241860.887451,87026.3270348902
927,370,91e13a42-0486-4570-8685-d92e16d46d79,13522790.4150391,15764.459713727
928,371,3aff2e38-f018-497a-8a11-23dfbed7f2a4,20056389.4035645,22629.4120359775
929,372,66e06e43-f2e9-4fc5-8393-b6af104f7b80,6940911.32714844,13355.465908141
930,373,03422177-67d7-4102-8a57-d5195c2065d5,478243.776367188,3180.34095421265
931,374,aaa90624-dd61-4098-a0af-1e2a1e15741a,4252649.2199707,12748.7406234734
932,375,79bb2bb0-9a6c-42d4-b506-a30e6e8ffdd9,51634.3061523438,915.289080986756
933,376,946149c0-3a0e-4c0e-9add-419db2a6240e,12776079.0380859,16729.8613528211
934,377,ecc195bc-1bc4-4592-864a-5bd94a952a95,5032090.69897461,10387.3167314141
935,378,fab723f1-f651-4044-826a-ab55224dc2a3,71368590.6054688,43135.8043248088
936,379,34c3863e-7474-469e-b0d0-a15fa16ea6c5,3345034.85351563,7779.33687406616
937,380,ae299410-6034-4ce2-9d50-50746f0e1e40,5085503.86303711,10399.1003698453
938,381,023dce8e-62e8-43a2-bee0-8a85e01d0b74,7247716.83105469,13368.1468292804
939,382,7e156568-66ab-43ce-9680-725a5079c043,60238198.4204102,42671.9642003853
940,383,1ac7c425-635e-4107-a6ab-eaadc4a07b10,12381021.3435059,15976.4315322476
941,384,75dfc9e8-cf2e-4376-b1ea-ba3eabd334c2,6699101.31298828,17882.9859406466
942,385,b51c3f79-2ce5-4a6f-8618-80c96b4da489,39233.9245605469,888.660509672416
943,387,c232b301-3b46-4032-a2c4-aa78dd4aef52,606514.791503906,8259.60581265707
944,388,c9fb29e7-ec48-4fb5-bfbd-3bf5ed639380,3245718.88842773,7443.40964375544
945,389,2b1a5681-9314-4cd4-bdc7-f5285cb66cae,13692227.8457031,34922.0713523258
946,400,ca4aa26a-f9d1-44ad-9c42-041da2e55e97,565072379.258789,134954.829087567
947,402,7f1121d9-0184-4a05-bc20-dd30cc2acdd9,28165778.6418457,21373.6000372924
948,403,c8f71d1c-790e-46f1-aba6-1317a161acf4,28663755.010498,21406.2179839115
949,404,91f829cd-95ed-48b2-ac78-b89fa012cead,2635930.36376953,7547.78834147319
950,405,8237e6e2-fcd1-40bb-9d83-34b6ad948050,658700.387695313,5842.38779273597
951,406,36d13096-de6c-4b48-801e-ff1047886c9c,241139537.418701,87039.8190761943
952,407,575a026b-2f17-4966-967a-0556a2148daa,140832556.386963,63532.7141540773
953,450,aa58b01b-0870-478c-a554-59f356757c84,792675204.256104,146731.745889341
954,451,7edee9bd-e781-47bd-bb92-9df4cbd89544,7585453.37451172,33018.849882416
955,452,d2ac036e-c256-4f0e-849d-a1a6b9049812,7284589.13647461,12610.2195099595
956,454,619c797d-4363-47ea-910a-0a729fc8c0cd,198189367.19165,63830.8041383542
957,455,963bb3da-7e23-46fb-9620-e2396e2e4248,7518872.79785156,30164.7891886631
958,456,5f4ebac4-f136-4b84-a8fb-27737703102f,3361255.90625,15103.0212594283
959,457,c689b004-c688-40e7-b610-69ea88a47092,78490.595703125,1739.40432441249
960,500,782d7f85-1caa-4598-bd5a-5a28dbdb4fca,624442487.692871,211664.836627274
961,502,0d442295-bd10-420a-b5c1-8c51be2e4018,57057285.8659668,89166.2990235506
962,504,56a3bfd9-0d0d-4b3d-aac7-ce5c79292e5a,3460720.9140625,7875.7805417917
963,505,e26600f0-7d2d-4da8-a2c5-104426c866f1,297895577.534912,135767.816844418
964,509,5d129253-5fba-40c8-bbc3-bc1a72ad1975,6768603.42626953,23963.2803293696
965,511,98f7cc4f-7701-4a9b-a233-95fbde6fb64a,25674063.0634766,41587.1939373978
966,514,071276ff-db99-46d1-81c3-e6a52b605282,8447006.70776367,25183.7803745741
967,516,4706a0cb-4ae2-4e0f-8ebe-cff28052f9df,3044822.13647461,7930.41961219469
968,550,ceafa34d-3116-43e1-8113-ef9d550fccd9,9825377.2565918,18364.4568041022
969,551,60248365-7fa4-457d-9d75-97555e869354,978084758.936279,160172.220175374
970,552,32591ea8-f1a2-4364-956b-601c123dcb0f,9034376.70776367,37056.5237871393
971,554,cf03e0f6-4d86-447f-bdaf-887f5afeebea,5797170.2668457,13932.0205889468
972,555,55077645-7c15-43ae-932b-d0575bef2372,11982173.9953613,35070.3069559375
973,600,05110797-c135-44ad-bc38-32ede59d11f0,63118494.5163574,42438.4520873037
974,601,35140890-f84a-4304-bee5-d210d712873f,538056594.731445,170610.218010361
975,602,d0c107c6-bc0f-4801-9339-cc49230932ff,220166429.405762,69292.6267005011
976,603,bb9f5d77-ad70-4965-a545-60a46c970b72,1794398.08447266,6131.58367359933
977,604,acc251ba-eb85-4bd8-bec2-2f340dd3f08c,105983723.330566,55540.1575037845
978,605,016316cb-c9d2-4faf-8d6d-031fde7ba463,251376.833740234,2043.85494361996
979,606,bdef8e24-2cfc-448c-b07a-6eaf55cbfa20,81660412.5217285,66723.4485381035
980,650,e52344d9-380c-467d-acbf-071b14f81590,227691306.322266,87834.9517791844
981,653,9fdfdff5-210b-47c6-b852-a8ac7dfc7df7,116614531.702148,53341.1829859999
982,654,f80d2765-583d-4093-8488-fd8850cf4d00,108410576.325928,66471.5391593128
983,655,18cc4d3a-61fb-4e6c-a6a6-9a3de89b26e4,544345947.286865,109729.908929535
984,656,94ef9078-dbff-439f-a827-f4b840d987ff,87884.3107910156,1183.2827006223
985,657,4de5dc73-ae60-45e5-b00c-1eea574c0f65,21192918.7824707,26667.6761687373
986,694,dd6ce4a4-dc38-4861-88e8-8870a9e8ca6e,2627500.92700195,6946.06610418334
987,695,45153546-bf67-41d1-bceb-a4f4d7353ceb,519460.363769531,3195.81998998637
988,696,d7ea92ac-0bb4-46f0-86d9-acc376592d9d,786012.159179688,3640.5152863967
989,697,380bcbf4-ffaa-4b0a-9c1d-a99d7a304ae2,3701080.06274414,16491.5879432527
990,699,a9c7bdfb-1e45-48e0-be4a-956f7e1912b6,6388922.15307617,19976.9625833205
991,703,1afa4d3f-6d2b-45f1-a9ff-f886471bf51e,453502592.688477,151405.647679739
992,704,59c48dee-4139-46a4-b6f3-5870049863ff,412693094.385254,102483.545740508
993,705,d350ee97-8a00-497c-94ee-bff5517890cd,93530472.5141602,61517.0115460991
994,706,923583d3-7a86-4a59-a13a-63594c112a21,5187354.04418945,17708.0929763798
995,707,09468c2c-8e88-4d75-ba22-8e638691b1ab,7068274.14306641,13303.9331614862
996,708,24f1adff-7d4a-4821-9171-990f66447c27,37869.8471679688,896.17525936858
997,709,99cfbd14-0baf-4591-b557-3083e9bba224,11371178.5888672,37162.4290257143
998,710,5845973a-9cda-42a8-8e67-c8c8ecc94a15,16038948.4916992,27717.9026866326
999,711,ab033519-412a-4d45-8a8a-bac757bc9f15,539119.682128906,2969.80368748736
1000,712,11508b93-a205-4051-b7fb-24bb752310cc,103170.749511719,2677.41033467615
1001,713,d2e981f8-ed8e-438a-8132-4bc08b23f35c,19220819.017334,35603.2170589751
1002,752,055eb643-e280-4cfc-9113-b720e69fccd3,62295636.2148438,66632.7893934603
1003,753,a84affcf-b2c1-4f93-b0ed-ff99558b7818,25302362.9274902,29623.5331929584
1004,754,5f55f9e7-0d14-4881-80ef-e0de1b5692ab,39644707.8266602,29796.0781807231
1005,755,883164d0-166c-4a26-a4f9-8ca090a89d25,872248110.814209,165758.166464107
1006,756,c3ec20c4-cd5f-4b04-9db8-f2948ce750f4,75193.8642578125,1198.07642808428
1007,757,886c0e23-5bfc-44b0-9a72-a2ca5bb892f3,1619489.77148438,5809.14888580399
