-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
May,17,"1,105","1,201","1,282",38.0,1.50,2.38,2.78,0.31,0.58,0.71,0.79,0.05
May,18,"1,112","1,203","1,283",39.2,1.53,2.42,2.89,0.32,0.59,0.70,0.78,0.04
May,19,"1,130","1,205","1,277",37.9,1.55,2.49,2.96,0.34,0.62,0.70,0.77,0.03
May,20,"1,149","1,210","1,276",38.4,1.62,2.58,3.01,0.32,0.63,0.70,0.77,0.04
May,21,"1,143","1,199","1,275",38.9,1.64,2.55,2.98,0.30,0.62,0.69,0.76,0.04
May,22,"1,141","1,207","1,303",40.8,1.71,2.66,3.07,0.31,0.62,0.70,0.78,0.04
May,23,"1,141","1,238","1,344",45.8,1.87,2.90,3.32,0.34,0.62,0.73,0.81,0.05
May,24,"1,170","1,283","1,385",53.8,2.09,3.20,3.64,0.38,0.65,0.78,0.87,0.06
June,Monthly Average,"1,101","1,236","1,444",70.2,1.47,2.44,3.95,0.55,0.59,0.76,0.95,0.07
June,1,"1,130","1,266","1,363",67.8,1.99,2.80,3.44,0.38,0.62,0.77,0.86,0.07
June,2,"1,143","1,285","1,396",72.1,2.09,2.95,3.62,0.40,0.64,0.79,0.89,0.07
June,3,"1,158","1,304","1,430",76.3,2.16,3.05,3.74,0.41,0.66,0.81,0.91,0.07
June,4,"1,163","1,320","1,439",80.0,2.20,3.13,3.95,0.43,0.67,0.82,0.93,0.08
June,5,"1,161","1,318","1,444",81.4,2.19,3.11,3.89,0.43,0.67,0.82,0.94,0.08
June,6,"1,154","1,297","1,438",80.1,2.09,2.99,3.66,0.43,0.65,0.80,0.94,0.08
June,7,"1,139","1,282","1,441",81.3,2.00,2.90,3.67,0.44,0.63,0.78,0.95,0.08
June,8,"1,120","1,262","1,413",74.2,1.92,2.75,3.50,0.42,0.60,0.76,0.91,0.07
June,9,"1,133","1,241","1,347",58.0,1.83,2.58,3.22,0.37,0.60,0.73,0.84,0.06
June,10,"1,128","1,222","1,311",48.5,1.74,2.41,2.98,0.33,0.64,0.72,0.81,0.04
June,11,"1,109","1,208","1,288",43.7,1.68,2.27,2.84,0.31,0.62,0.72,0.80,0.04
June,12,"1,101","1,201","1,269",40.2,1.63,2.17,2.81,0.32,0.63,0.73,0.83,0.05
June,13,"1,112","1,198","1,268",35.7,1.59,2.07,2.66,0.31,0.63,0.73,0.83,0.05
June,14,"1,115","1,198","1,267",32.8,1.54,2.01,2.61,0.31,0.63,0.75,0.86,0.05
June,15,"1,115","1,199","1,269",31.7,1.49,1.96,2.59,0.31,0.65,0.77,0.87,0.06
June,16,"1,118","1,201","1,270",31.8,1.47,1.95,2.60,0.32,0.66,0.77,0.89,0.06
June,17,"1,142","1,201","1,264",28.3,1.50,1.94,2.66,0.32,0.63,0.77,0.91,0.07
June,18,"1,148","1,200","1,268",30.6,1.48,1.97,2.70,0.33,0.63,0.76,0.89,0.06
June,19,"1,138","1,199","1,268",32.2,1.52,2.02,2.76,0.34,0.63,0.75,0.85,0.06
June,20,"1,126","1,200","1,266",36.1,1.60,2.11,2.82,0.34,0.64,0.73,0.81,0.05
June,21,"1,109","1,198","1,259",39.7,1.51,2.12,2.77,0.33,0.66,0.73,0.83,0.04
June,22,"1,107","1,202","1,268",41.1,1.56,2.20,2.82,0.33,0.61,0.71,0.81,0.04
June,23,"1,103","1,213","1,300",48.5,1.69,2.38,3.01,0.35,0.59,0.71,0.78,0.05
